#
# [ASteCA v0.1.9-beta]
#
# Modified: 2015-08-15 15:03:14
#
# NAME: Cluster's name.
# c_x: Cluster's x center coordinate.
# e_x: Cluster's x center coordinate error.
# c_y: Cluster's y center coordinate.
# e_y: Cluster's x center coordinate error.
# r_cl: Cluster's radius.
# e_rcl: Cluster's radius error.
# r_c: Core radius (3-P King profile).
# e_rc: Core radius error.
# r_t: Tidal radius (3-P King profile).
# e_rt: Tidal radius error.
# kcp: King's profile concentration parameter.
#
# CI: 'Contamination index' is a  measure of the contamination of field
#      stars in the cluster region. The closer to 1, the more contaminated 
#      the cluster region is.
# n_memb_k: Approximate number of cluster's members obtained integrating the
#         fitted 3-P King profile (if it converged).
# n_memb: Approximate number of cluster's members assuming a uniform
#       background.
# n_memb_da: Approximate number of cluster's members obtained via the DA
#          algorithm.
# memb_par: Members parameter comparing the approximate structural number of
#           members ('n_memb') with the approximate photometric number of
#           members ('n_memb_da').
# a_f: Fraction of cluster's area that is present in frame.
# prob_cl: Statistical comparision of cluster vs field KDEs. It is obtained
#          as 1 minus the overlap area between the KDEs. If the KDEs are
#          very similar this value will be low indicating the overdensity is
#          probably not a true cluster.
# int_col: Integrated color magnitude for all stars inside the cluster
#          radius, except those that were rejected due to large errors.
# met: Metallicity value (z).
# e_m: Metallicity error.
# age: log(age).
# e_a: log(age) error.
# E(B-V): extinction.
# e_E: Extinction error.
# dist: Distance modulus.
# e_d: Distance error.
# M_i: Total initial mass.
# e_M: Mass error.
# bin_fr: Binary fraction.
# e_bf: Binary fraction error.
#
# M1 Indicates that the center was set manually.
# M2 Indicates that the radius was set manually.
#
# f1 Either median cluster's central coordinates (obtained using several
#    standard deviation smoothing values) is more than 10% away from the
#    central position assigned.
# f2 The standard deviation for either center coordinate is larger than 10%
#    of the coordinate's value.
# f3 The background value is smaller than a third of the maximum radial
#    density value.
# f4 Not enough points found stabilized around the background value -->
#    clust_rad was set to the middle value in the density profile.
# f5 The delta range around the background used to attain the stable
#    condition to determine the radius is greater than 10%%. This indicates
#    a possible variable background.
# f6 The process to fit a 3-P King profile to the density points did not
#    converge or did so to a tidal radius beyond the ranges of the frame.
# f7 No error rejection was possible.
# f8 The function had to fall back to the 'e_max'-based rejection method
#    since the selected one failed.
# f9 The number of approximate structural cluster members ('n_memb') is < 10.
# f10 The number of approximate structural and photometric cluster members
#     differ greatly --> abs(n_memb_par) > 0.33.
#
# FC (flags count): Sum of all the flags values. The bigger this value the
#    more likely it is that there's a problem with the frame, ie: no cluster,
#    more than one cluster present in the frame, variable or too crowded
#    field, etc.
#
#NAME                 c_x      e_x      c_y      e_y     r_cl    e_rcl      r_c     e_rc      r_t     e_rt      kcp      CI   n_memb_k     n_memb  n_memb_da  memb_par     a_f  prob_cl  int_col      met      e_m      age      e_a   E(B-V)      e_E     dist      e_d      M_i      e_M   bin_fr     e_bf      M1 M2  f1 f2 f3 f4 f5 f6 f7 f8 f9 f10  FC
SL300              6514.0      2.0   7649.0      2.0    200.0     30.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.83         -1        101         35      0.49    1.00    -1.00   -99.00   0.0152     -1.0      8.4     -1.0     0.12     -1.0    18.96     -1.0     1410     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
L3                  980.0      2.0   1133.0      2.0    120.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.34         -1        139         50      0.47    1.00    -1.00   -99.00 0.012074     -1.0     9.85     -1.0    0.045     -1.0    18.49     -1.0     5010     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  1  0   1   3
SL290              2241.0      2.0   1703.0      2.0    120.0     40.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.91         -1         25         64     -0.44    1.00    -1.00   -99.00 0.006051     -1.0      8.8     -1.0     0.12     -1.0    18.96     -1.0     1610     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
L115               1096.0      2.0   1028.0      2.0    120.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.14         -1         82         93     -0.06    1.00    -1.00   -99.00 0.007618     -1.0        8     -1.0     0.03     -1.0    18.49     -1.0     1410     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
SL359               826.0      2.0   1004.0      2.0    110.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.77         -1        157         66      0.41    1.00    -1.00   -99.00 0.001914     -1.0     9.35     -1.0     0.04     -1.0    18.96     -1.0     8210     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
SL41                266.0      2.0   3226.0      2.0    230.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.45         -1        566        690     -0.10    1.00    -1.00   -99.00 0.006051     -1.0     9.15     -1.0     0.12     -1.0    18.96     -1.0     9610     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
SL35                481.0      2.0    738.0      2.0    140.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.60         -1        125        143     -0.07    1.00    -1.00   -99.00 0.003818     -1.0     9.05     -1.0     0.08     -1.0    18.96     -1.0     1810     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
OGLE298            1800.0      0.0   2135.0      0.0     54.7      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    1.02         -1          0         69     -1.00    1.00    -1.00   -99.00 0.004807     -1.0     8.75     -1.0      0.1     -1.0    18.96     -1.0      810     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  1   1   4
SL555               772.0      2.0    963.0      2.0    130.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.62         -1        203        220     -0.04    1.00    -1.00   -99.00 0.009591     -1.0     9.05     -1.0     0.03     -1.0    18.96     -1.0     5210     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
SL33                555.0      0.0   2150.0      0.0    112.5      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.52         -1         92        155     -0.26    1.00    -1.00   -99.00 0.002409     -1.0      9.4     -1.0     0.18     -1.0    18.96     -1.0     4810     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
L4                 1141.0      2.0   1222.0      2.0    140.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.24         -1        256        313     -0.10    1.00    -1.00   -99.00  0.00152     -1.0     9.85     -1.0     0.06     -1.0    18.49     -1.0    17210     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
SL13               3514.0      2.0   4415.0      2.0    220.0     40.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.56         -1        183        242     -0.14    1.00    -1.00   -99.00   0.0152     -1.0     9.05     -1.0     0.12     -1.0    18.96     -1.0     2210     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
SL54                405.0      3.0   2421.0      3.0    162.5      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.57         -1        208        204      0.01    1.00    -1.00   -99.00 0.012074     -1.0     8.85     -1.0     0.14     -1.0    18.96     -1.0     3810     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
HW40               3845.0      3.0   4746.0      3.0    137.5      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.55         -1        182        202     -0.05    1.00    -1.00   -99.00 0.003033     -1.0     9.65     -1.0        0     -1.0    18.49     -1.0     1810     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
NGC1795            3770.0      0.0   7850.0      0.0    187.5      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.84         -1        123         89      0.16    1.01    -1.00   -99.00 0.012074     -1.0     8.95     -1.0     0.08     -1.0    18.96     -1.0     2810     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   0   2
NGC2161            1003.0      2.0    550.0      2.0    150.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.10         -1        478        494     -0.02    1.00    -1.00   -99.00 0.009591     -1.0     9.15     -1.0     0.01     -1.0    18.96     -1.0    17210     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
NGC2108            3840.0      2.0   4710.0      2.0    360.0     40.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.78         -1       1005        308      0.53    1.00    -1.00   -99.00 0.012074     -1.0      8.7     -1.0     0.24     -1.0    18.96     -1.0     6010     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
SL869              4308.0      2.0   4653.0      2.0    300.0     40.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.63         -1        426        206      0.35    1.00    -1.00   -99.00 0.012074     -1.0        9     -1.0     0.09     -1.0    18.96     -1.0     2810     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
L6                  123.0      2.0    541.0      2.0    140.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.42         -1        118        164     -0.16    1.00    -1.00   -99.00 0.002409     -1.0      9.9     -1.0     0.05     -1.0    18.49     -1.0    18810     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
SL588             1690.05      0.0  6424.63      0.0    162.5      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.80         -1        101        171     -0.26    1.00    -1.00   -99.00   0.0152     -1.0     6.45     -1.0     0.36     -1.0    18.96     -1.0     4610     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   0   2
SL151              1675.0      0.0   6715.0      0.0    237.5      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.90         -1        114         18      0.73    1.00    -1.00   -99.00   0.0152     -1.0     9.05     -1.0        0     -1.0    18.96     -1.0     1210     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
L91                3807.0      2.0   6395.0      2.0    250.0     40.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.61         -1        620        456      0.15    1.00    -1.00   -99.00 0.003818     -1.0      9.5     -1.0     0.06     -1.0    18.49     -1.0     7410     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
SL397              5076.0      0.0   6175.0      0.0     91.2      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    1.32         -1          0        175     -1.00    1.00    -1.00   -99.00 0.012074     -1.0      7.7     -1.0      0.2     -1.0    18.96     -1.0     2810     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  1   1   4
SL510              5890.0      0.0   7115.0      0.0     70.0      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.94         -1          9         61     -0.74    1.00    -1.00   -99.00   0.0152     -1.0      6.7     -1.0     0.14     -1.0    18.96     -1.0      410     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  1   1   4
SL351              8117.0      2.0   2274.0      2.0    120.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.92         -1         47          0      1.00    1.00    -1.00   -99.00 0.012074     -1.0     8.65     -1.0      0.1     -1.0    18.96     -1.0      810     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
SL549               362.0      2.0   1043.0      2.0    150.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.46         -1        228        326     -0.18    1.00    -1.00   -99.00 0.000481     -1.0     9.45     -1.0    0.055     -1.0    18.96     -1.0    16810     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
L27                1215.0      2.0   1218.0      2.0    200.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.68         -1        565        290      0.32    1.00    -1.00   -99.00 0.002409     -1.0      9.5     -1.0        0     -1.0    18.49     -1.0    14210     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   0   2
SL551              5941.0      2.0   2962.0      2.0    100.0     10.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.94         -1         13         11      0.08    1.00    -1.00   -99.00   0.0152     -1.0      6.8     -1.0     0.12     -1.0    18.96     -1.0      410     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   0   2
NGC339             1874.0      6.0   4667.0      6.0    300.0      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.34         -1       2396       3069     -0.12    1.00    -1.00   -99.00 0.009591     -1.0      9.1     -1.0     0.07     -1.0    18.49     -1.0    16410     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
SL162              2875.0      2.0   7420.0      2.0    200.0     30.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.72         -1        379        145      0.45    1.00    -1.00   -99.00   0.0152     -1.0        9     -1.0     0.12     -1.0    18.96     -1.0     6410     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
L49                1091.0      2.0   1062.0      2.0     60.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    1.06         -1          0         51     -1.00    1.00    -1.00   -99.00 0.007618     -1.0     7.35     -1.0     0.04     -1.0    18.49     -1.0      610     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  1   1   4
SL154              3078.0      2.0   6592.0      2.0    190.0     40.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.82         -1        200          8      0.92    1.00    -1.00   -99.00   0.0152     -1.0      8.7     -1.0     0.06     -1.0    18.96     -1.0      810     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
SL132              6103.0      2.0   4353.0      2.0    130.0     40.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.71         -1        155        223     -0.18    1.00    -1.00   -99.00 0.012074     -1.0     8.95     -1.0     0.06     -1.0    18.96     -1.0     2010     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   0   2
SL5                7382.0      2.0    589.0      2.0    170.0     30.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.27         -1        286        381     -0.14    1.00    -1.00   -99.00 0.012074     -1.0     9.35     -1.0     0.04     -1.0    18.96     -1.0     5010     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
SL870               875.0      2.0    964.0      2.0    230.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.29         -1        618        749     -0.10    1.00    -1.00   -99.00   0.0152     -1.0        9     -1.0     0.06     -1.0    18.96     -1.0     8410     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
HW47               1215.0      2.0   1332.0      2.0    140.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.47         -1         88        144     -0.24    1.00    -1.00   -99.00 0.006051     -1.0     9.15     -1.0    0.005     -1.0    18.49     -1.0     1810     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
SL446A              872.0      2.0   1005.0      2.0    130.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.61         -1        263        155      0.26    1.00    -1.00   -99.00 0.001914     -1.0     9.45     -1.0     0.02     -1.0    18.96     -1.0    11610     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
IC2146             3797.0      2.0   4685.0      2.0    370.0     40.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.31         -1       2712       3776     -0.16    1.00    -1.00   -99.00 0.007618     -1.0     9.15     -1.0     0.09     -1.0    18.96     -1.0    29010     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
L5                 1127.0      2.0   1334.0      2.0    120.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.19         -1         83        101     -0.10    1.00    -1.00   -99.00  0.00152     -1.0     9.45     -1.0     0.07     -1.0    18.49     -1.0     2210     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
L28                 973.0      2.0   1122.0      2.0     80.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.68         -1        150         46      0.53    1.00    -1.00   -99.00 0.007618     -1.0      9.8     -1.0     0.02     -1.0    18.49     -1.0     5210     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
SL269              3312.0      2.0   4843.0      2.0     70.0     10.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.84         -1         18          7      0.44    1.00    -1.00   -99.00 0.012074     -1.0     7.95     -1.0     0.03     -1.0    18.96     -1.0      410     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
SL579              7723.0      0.0   5989.0      0.0    100.0      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.86         -1         24         29     -0.09    1.00    -1.00   -99.00   0.0152     -1.0      7.6     -1.0     0.06     -1.0    18.96     -1.0      810     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   0   2
NGC1852            3772.0      2.0   4618.0      2.0    380.0     40.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.85         -1        405        111      0.57    1.00    -1.00   -99.00 0.012074     -1.0        9     -1.0     0.06     -1.0    18.96     -1.0     5810     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
L72               1501.56      0.0   968.93      0.0    100.0      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.62         -1        215        252     -0.08    1.00    -1.00   -99.00 0.000303     -1.0     6.25     -1.0     0.01     -1.0    18.49     -1.0     1410     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   0   2
SL678               573.0      2.0    483.0      2.0    130.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.50         -1        217        340     -0.22    1.00    -1.00   -99.00 0.012074     -1.0     8.95     -1.0     0.06     -1.0    18.96     -1.0     3810     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
SL874              1199.0      2.0    738.0      2.0    130.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.17         -1        384        404     -0.03    1.00    -1.00   -99.00 0.003033     -1.0      9.4     -1.0        0     -1.0    18.96     -1.0    28210     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
SL96               5711.0      2.0   1274.0      2.0    190.0     30.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.74         -1        265        140      0.31    1.00    -1.00   -99.00 0.009591     -1.0     9.15     -1.0     0.02     -1.0    18.96     -1.0     5410     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   0   2
NGC2093            7305.0      0.0   2205.0      0.0    100.0      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.95         -1         14         10      0.17    1.00    -1.00   -99.00   0.0152     -1.0      7.2     -1.0     0.28     -1.0    18.96     -1.0     1610     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   0   2
SL674               823.0      2.0    991.0      2.0    150.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.40         -1        472        646     -0.16    1.00    -1.00   -99.00 0.001914     -1.0     9.45     -1.0     0.02     -1.0    18.96     -1.0    26810     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
SL505               773.0      2.0    969.0      2.0    110.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.65         -1         90        119     -0.14    1.00    -1.00   -99.00 0.006051     -1.0     8.85     -1.0     0.08     -1.0    18.96     -1.0     2810     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   0   2
OHSC28             1181.0      2.0    963.0      2.0    100.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.65         -1          8         18     -0.38    1.00    -1.00   -99.00 0.000605     -1.0      9.7     -1.0     0.04     -1.0    18.96     -1.0      610     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  1   1   3
HW67              3798.56      0.0  4802.85      0.0    112.5      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.34         -1         90        134     -0.20    1.00    -1.00   -99.00 0.000382     -1.0     9.45     -1.0        0     -1.0    18.49     -1.0     1210     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
L63                 710.0      0.0   1080.0      0.0     60.0      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.88         -1         15          0      1.00    1.00    -1.00   -99.00   0.0152     -1.0      6.6     -1.0     0.09     -1.0    18.49     -1.0      410     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
SL73                759.0      2.0    894.0      2.0    170.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.61         -1        181        150      0.09    1.00    -1.00   -99.00 0.006051     -1.0     9.35     -1.0     0.04     -1.0    18.96     -1.0     3010     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
SL663             1081.76      0.0  1255.86      0.0    262.5      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.62         -1        416        564     -0.15    1.00    -1.00   -99.00 0.001914     -1.0     9.45     -1.0     0.08     -1.0    18.96     -1.0    19810     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
HW84              1484.74      0.0  1364.99      0.0     62.5      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.10         -1         34         30      0.06    1.00    -1.00   -99.00 0.007618     -1.0        9     -1.0     0.01     -1.0    18.49     -1.0      610     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
SL707              5091.0      2.0   7442.0      2.0    250.0     30.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.75         -1        447        199      0.38    1.00    -1.00   -99.00 0.007618     -1.0     9.45     -1.0        0     -1.0    18.96     -1.0    10610     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
HW85               505.23      0.0   841.63      0.0     60.0      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.14         -1         23         19      0.10    1.00    -1.00   -99.00 0.000191     -1.0     9.55     -1.0     0.04     -1.0    18.49     -1.0      810     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
NGC419             6960.0      0.0   1930.0      0.0    310.0      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.60         -1       1797       2363     -0.14    1.00    -1.00   -99.00 0.004807     -1.0     8.95     -1.0     0.12     -1.0    18.49     -1.0    24410     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   0   2
